topo,guest,T,n_frames,diff,family
csq,sulfamethoxazole,600,400,-1.998780909975828,Pharmaceutical
csq,sulfamethoxazole,900,400,-0.4157815194919436,Pharmaceutical
csq,sulfamethoxazole,1200,400,-2.1681017984905004,Pharmaceutical
csq,sulfamethoxazole,1500,400,6.920168490906452,Pharmaceutical
csq,triclosan,300,1200,2.2751737443057536,Pharmaceutical
csq,triclosan,600,400,6.330108757912296,Pharmaceutical
csq,triclosan,900,400,-2.128825978761373,Pharmaceutical
csq,triclosan,1200,400,3.481698810312711,Pharmaceutical
csq,triclosan,1500,400,2.331285643935168,Pharmaceutical
csq,trimethoprim,300,1200,1.5623982534504393,Pharmaceutical
csq,trimethoprim,600,400,-3.260834291385585,Pharmaceutical
csq,trimethoprim,900,400,0.9807534228921037,Pharmaceutical
csq,trimethoprim,1200,400,-1.4431275228375924,Pharmaceutical
csq,trimethoprim,1500,400,-6.939935039999543,Pharmaceutical
scu,17-alpha-ethinylestradiol,300,1200,-0.5967678095914266,Pharmaceutical
scu,17-alpha-ethinylestradiol,600,400,3.516117706261568,Pharmaceutical
scu,17-alpha-ethinylestradiol,900,400,-0.7035573763000507,Pharmaceutical
scu,17-alpha-ethinylestradiol,1200,400,0.227459643546446,Pharmaceutical
scu,17-alpha-ethinylestradiol,1500,400,-2.1072584772587355,Pharmaceutical
scu,17-beta-estradiol,300,1200,0.00591741460644,Pharmaceutical
scu,17-beta-estradiol,600,400,0.1106738505273554,Pharmaceutical
scu,17-beta-estradiol,900,400,-0.3300386215228386,Pharmaceutical
scu,17-beta-estradiol,1200,400,-2.447613354941229,Pharmaceutical
scu,17-beta-estradiol,1500,400,2.517750091749648,Pharmaceutical
scu,acetaminophen,300,1200,-2.8676870395364524,Pharmaceutical
scu,acetaminophen,600,400,2.5959063999806453,Pharmaceutical
scu,acetaminophen,900,400,4.899719677899679,Pharmaceutical
scu,acetaminophen,1200,400,0.4387734676908152,Pharmaceutical
scu,acetaminophen,1500,400,-0.5905993911998877,Pharmaceutical
scu,atenolol,300,1200,-1.5914080177127232,Pharmaceutical
scu,atenolol,600,400,6.847145210355382,Pharmaceutical
scu,atenolol,900,400,5.234081839883011,Pharmaceutical
scu,atenolol,1200,400,-4.055518597369442,Pharmaceutical
scu,atenolol,1500,400,-3.031799599064456,Pharmaceutical
scu,benzafibrate,300,1200,-5.761798504070448,Pharmaceutical
scu,benzafibrate,600,400,5.705172046813566,Pharmaceutical
scu,benzafibrate,900,400,-0.6542414046676015,Pharmaceutical
scu,benzafibrate,1200,400,0.7628319236430947,Pharmaceutical
scu,benzafibrate,1500,400,-3.1066489322109803,Pharmaceutical
scu,carbamazepine,300,1200,0.1509034845613897,Pharmaceutical
scu,carbamazepine,600,400,-0.6622735262901358,Pharmaceutical
scu,carbamazepine,900,400,7.35209582994316,Pharmaceutical
scu,carbamazepine,1200,400,-2.738125153056849,Pharmaceutical
scu,carbamazepine,1500,400,-1.832403041103614,Pharmaceutical
scu,ciprofloxacin,300,1200,-0.0051079273156773,Pharmaceutical
scu,ciprofloxacin,600,400,-0.3201867224048413,Pharmaceutical
scu,ciprofloxacin,900,400,-0.3972762644243239,Pharmaceutical
scu,ciprofloxacin,1200,400,-0.957880701521468,Pharmaceutical
scu,ciprofloxacin,1500,400,-2.6947328711664973,Pharmaceutical
scu,clofibric-acid,300,1200,2.1286816515688827,Pharmaceutical
scu,clofibric-acid,600,400,2.818308316975571,Pharmaceutical
scu,clofibric-acid,900,400,-0.9819456908891588,Pharmaceutical
scu,clofibric-acid,1200,400,-7.75269789475189,Pharmaceutical
scu,clofibric-acid,1500,400,1.905570648847167,Pharmaceutical
scu,diclofenac,300,1200,-0.4445465550691025,Pharmaceutical
scu,diclofenac,600,400,3.1911117108903437,Pharmaceutical
scu,diclofenac,900,400,-4.015608993184596,Pharmaceutical
scu,diclofenac,1200,400,-6.591240561152297,Pharmaceutical
scu,diclofenac,1500,400,-3.090220733523904,Pharmaceutical
scu,estrone,300,1200,0.4256773444167905,Pharmaceutical
scu,estrone,600,400,1.5603588475984225,Pharmaceutical
scu,estrone,900,400,1.6638790897867644,Pharmaceutical
scu,estrone,1200,400,1.4382768744069985,Pharmaceutical
scu,estrone,1500,400,3.7384631473923697,Pharmaceutical
scu,gemfibrozil,300,1200,-0.6311051294189269,Pharmaceutical
scu,gemfibrozil,600,400,0.1099522146006037,Pharmaceutical
scu,gemfibrozil,900,400,8.585114346904739,Pharmaceutical
scu,gemfibrozil,1200,400,4.000398162894488,Pharmaceutical
scu,gemfibrozil,1500,400,1.9521318537294905,Pharmaceutical
scu,ibuprofen,300,1200,1.1526847507503923,Pharmaceutical
scu,ibuprofen,600,400,0.1921998847355901,Pharmaceutical
scu,ibuprofen,900,400,1.891803090410555,Pharmaceutical
scu,ibuprofen,1200,400,3.2546407727368063,Pharmaceutical
scu,ibuprofen,1500,400,-3.914184632676736,Pharmaceutical
scu,ketoprofen,300,1200,-3.271834533014804,Pharmaceutical
scu,ketoprofen,600,400,1.3699473649297502,Pharmaceutical
scu,ketoprofen,900,400,1.2372793064579568,Pharmaceutical
scu,ketoprofen,1200,400,0.3058732306981895,Pharmaceutical
scu,ketoprofen,1500,400,-0.0479354507073921,Pharmaceutical
scu,naproxen,300,1200,-1.3483108373630266,Pharmaceutical
scu,naproxen,600,400,0.3491462857959675,Pharmaceutical
scu,naproxen,900,400,-0.7882084078360805,Pharmaceutical
scu,naproxen,1200,400,0.6677516842548172,Pharmaceutical
scu,naproxen,1500,400,2.0702981677093035,Pharmaceutical
scu,oxypurinol,300,1200,1.3765111142988786,Pharmaceutical
scu,oxypurinol,600,400,-6.895137136962578,Pharmaceutical
scu,oxypurinol,900,400,-0.202133360117628,Pharmaceutical
scu,oxypurinol,1200,400,-3.9043829342515535,Pharmaceutical
scu,oxypurinol,1500,400,6.447597361522533,Pharmaceutical
scu,sulfadiazine,300,1200,-0.1234311186522632,Pharmaceutical
scu,sulfadiazine,600,400,4.004508350134092,Pharmaceutical
scu,sulfadiazine,900,400,1.6470932106863074,Pharmaceutical
scu,sulfadiazine,1200,400,-3.905681878948237,Pharmaceutical
scu,sulfadiazine,1500,400,4.441217311537304,Pharmaceutical
scu,sulfamethazine,300,1200,-0.4050322818618426,Pharmaceutical
scu,sulfamethazine,600,400,0.0736884405780138,Pharmaceutical
scu,sulfamethazine,900,400,-7.796761611804833,Pharmaceutical
scu,sulfamethazine,1200,400,3.1941363066541584,Pharmaceutical
scu,sulfamethazine,1500,400,3.5224304518099245,Pharmaceutical
scu,sulfamethoxazole,300,1200,-0.4241901468991216,Pharmaceutical
scu,sulfamethoxazole,600,400,-0.6317200887530632,Pharmaceutical
scu,sulfamethoxazole,900,400,-3.660570393182102,Pharmaceutical
scu,sulfamethoxazole,1200,400,1.6636971120300856,Pharmaceutical
scu,sulfamethoxazole,1500,400,-3.042523736401659,Pharmaceutical
scu,triclosan,300,1200,0.021015293132617,Pharmaceutical
scu,triclosan,600,400,1.7864505204554462,Pharmaceutical
scu,triclosan,900,400,0.7871541918958549,Pharmaceutical
scu,triclosan,1200,400,5.284734406704988,Pharmaceutical
scu,triclosan,1500,400,-1.4724886923062783,Pharmaceutical
scu,trimethoprim,300,1200,-0.535817811874054,Pharmaceutical
scu,trimethoprim,600,400,1.0729471185734063,Pharmaceutical
scu,trimethoprim,900,400,-1.376542489763093,Pharmaceutical
scu,trimethoprim,1200,400,3.1213263793953345,Pharmaceutical
scu,trimethoprim,1500,400,-4.922661425227389,Pharmaceutical
shp,17-alpha-ethinylestradiol,300,1200,0.5916787075756886,Pharmaceutical
shp,17-alpha-ethinylestradiol,600,400,0.6209708509446124,Pharmaceutical
shp,17-alpha-ethinylestradiol,900,400,-2.614919937861117,Pharmaceutical
shp,17-alpha-ethinylestradiol,1200,400,-2.9101317821148704,Pharmaceutical
shp,17-alpha-ethinylestradiol,1500,400,0.1868911543276254,Pharmaceutical
shp,17-beta-estradiol,300,1200,-4.441330263229894,Pharmaceutical
shp,17-beta-estradiol,600,400,-3.053982059865554,Pharmaceutical
shp,17-beta-estradiol,900,400,-0.2652733660864825,Pharmaceutical
shp,17-beta-estradiol,1200,400,-1.1067134048022955,Pharmaceutical
shp,17-beta-estradiol,1500,400,-5.050353333376027,Pharmaceutical
shp,acetaminophen,300,1200,-0.6963974929680781,Pharmaceutical
shp,acetaminophen,600,400,-3.1037059126398603,Pharmaceutical
shp,acetaminophen,900,400,1.7716412962072248,Pharmaceutical
shp,acetaminophen,1200,400,2.225249088546174,Pharmaceutical
shp,acetaminophen,1500,400,-3.6482210061633857,Pharmaceutical
shp,atenolol,300,1200,2.434617633231184,Pharmaceutical
shp,atenolol,600,400,2.6058838009555174,Pharmaceutical
shp,atenolol,900,400,-4.632375530532627,Pharmaceutical
shp,atenolol,1200,400,-0.6985686758482821,Pharmaceutical
shp,atenolol,1500,400,0.0506525668576536,Pharmaceutical
shp,benzafibrate,300,1200,-7.065336538582407,Pharmaceutical
shp,benzafibrate,600,400,-2.759303598681889,Pharmaceutical
shp,benzafibrate,900,400,1.9632324967800017,Pharmaceutical
shp,benzafibrate,1200,400,0.0585591865519532,Pharmaceutical
shp,benzafibrate,1500,400,3.2575775171366037,Pharmaceutical
shp,carbamazepine,300,1200,-0.5781182272243228,Pharmaceutical
shp,carbamazepine,600,400,-1.155201063879705,Pharmaceutical
shp,carbamazepine,900,400,-0.4363952066540086,Pharmaceutical
shp,carbamazepine,1200,400,-0.2394639002803877,Pharmaceutical
shp,carbamazepine,1500,400,4.030104462612268,Pharmaceutical
shp,ciprofloxacin,300,1200,0.2747111089626344,Pharmaceutical
shp,ciprofloxacin,600,400,-5.819579578831529,Pharmaceutical
shp,ciprofloxacin,900,400,-2.572123789969289,Pharmaceutical
shp,ciprofloxacin,1200,400,1.0080814615374152,Pharmaceutical
