guest,shp,csq,scu,sqc
AC,1,3,4,2
AT,3,4,1,2
BZA,1,4,3,2
CAR,3,4,2,1
CBC,3,4,2,1
CBCA,2,,1,3
CBD,3,4,2,1
CBDA,3,,1,2
CBDV,4,3,2,1
CBDVA,3,,2,1
CBG,3,4,1,2
CBGA,3,4,1,2
CBL,2,4,3,1
CBLA,3,4,2,1
CBN,3,4,2,1
CBNA,3,,1,2
CLF,3,2,1,4
CPFX,2,4,3,1
DIC,2,4,3,1
E1,4,3,1,2
E2,3,4,2,1
EE2,3,4,1,2
GFB,3,4,1,2
IBU,2,3,4,1
KETO,2,4,1,3
NAP,3,4,2,1
OXP,2,4,3,1
SMZ,3,4,1,2
SSD,3,4,1,2
SXT,2,4,3,1
TCS,3,4,2,1
THCA,1,4,3,2
TMP,3,4,1,2
d8-THC,2,4,3,1
d9-THC,3,4,1,2
