Name,Abbreviation,CID,Guest_Type,CID_resolved,IUPAC_Name_resolved,Common_Name_resolved,SMILES_resolved,Formula_resolved,InChIKey_resolved,MolWt,NumRotatableBonds,NumHDonors,NumHAcceptors,NumAromaticRings
Oxypurinol,OXP,135398752,Pharmaceutical,135398752,"1,7-dihydropyrazolo[5,4-d]pyrimidine-4,6-dione",Oxypurinol,O=c1[nH]c(=O)c2cn[nH]c2[nH]1,C5H4N4O2,HXNFUBHNUDHIGC-UHFFFAOYSA-N,152.113,0,3,3,2
Cannabichromene,CBC,30219,Cannabinoid,30219,2-methyl-2-(4-methylpent-3-enyl)-7-pentylchromen-5-ol,CANNABICHROMENE,CCCCCc1cc(O)c2c(c1)OC(C)(CCC=C(C)C)C=C2,C21H30O2,UVOLYTDXHDXWJU-UHFFFAOYSA-N,314.46900000000005,7,1,2,1
Cannabichromenic acid,CBCA,3084339,Cannabinoid,3084339,5-hydroxy-2-methyl-2-(4-methylpent-3-enyl)-7-pentylchromene-6-carboxylic acid,Cannabichromenic acid,CCCCCc1cc2c(c(O)c1C(=O)O)C=CC(C)(CCC=C(C)C)O2,C22H30O4,HRHJHXJQMNWQTF-UHFFFAOYSA-N,358.47800000000007,8,2,3,1
Cannabidiol,CBD,644019,Cannabinoid,644019,"2-[(1R,6R)-3-methyl-6-prop-1-en-2-ylcyclohex-2-en-1-yl]-5-pentylbenzene-1,3-diol",cannabidiol,C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O,C21H30O2,QHMBSVQNZZTUGM-ZWKOTPCHSA-N,314.46900000000005,6,2,2,1
Cannabidiolic acid,CBDA,160570,Cannabinoid,160570,"2,4-dihydroxy-3-[(1R,6R)-3-methyl-6-prop-1-en-2-ylcyclohex-2-en-1-yl]-6-pentylbenzoic acid",Cannabidiolic acid,C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)c(C(=O)O)c1O,C22H30O4,WVOLTBSCXRRQFR-DLBZAZTESA-N,358.4780000000002,7,3,3,1
Cannabidivarin,CBDV,11601669,Cannabinoid,11601669,"2-[(1R,6R)-3-methyl-6-prop-1-en-2-ylcyclohex-2-en-1-yl]-5-propylbenzene-1,3-diol",Cannabidivarin,C=C(C)C1CCC(C)=CC1c1c(O)cc(CCC)cc1O,C19H26O2,REOZWEGFPHTFEI-JKSUJKDBSA-N,286.41499999999996,4,2,2,1
Cannabidivarinic acid,CBDVA,59444387,Cannabinoid,59444387,"2,4-dihydroxy-3-[(1R,6R)-3-methyl-6-prop-1-en-2-ylcyclohex-2-en-1-yl]-6-propylbenzoic acid",Cannabidivarinic acid,C=C(C)C1CCC(C)=CC1c1c(O)cc(CCC)c(C(=O)O)c1O,C20H26O4,CZXWOKHVLNYAHI-LSDHHAIUSA-N,330.4240000000001,5,3,3,1
Cannabigerol,CBG,5315659,Cannabinoid,5315659,"2-[(2E)-3,7-dimethylocta-2,6-dienyl]-5-pentylbenzene-1,3-diol",Cannabigerol,CCCCCc1cc(O)c(CC=C(C)CCC=C(C)C)c(O)c1,C21H32O2,QXACEHWTBCFNSA-SFQUDFHCSA-N,316.485,9,2,2,1
Cannabigerolic acid,CBGA,6449999,Cannabinoid,6449999,"3-[(2E)-3,7-dimethylocta-2,6-dienyl]-2,4-dihydroxy-6-pentylbenzoic acid",Cannabigerolic acid,CCCCCc1cc(O)c(CC=C(C)CCC=C(C)C)c(O)c1C(=O)O,C22H32O4,SEEZIOZEUUMJME-FOWTUZBSSA-N,360.49400000000014,10,3,3,1
Cannabicyclol,CBL,59444380,Cannabinoid,59444380,"(1R,9R,12S,14R)-9,13,13-trimethyl-5-pentyl-8-oxatetracyclo[7.4.1.02,7.012,14]tetradeca-2,4,6-trien-3-ol",Cannabipinol,CCCCCc1cc(O)c2c(c1)OC1(C)CCC3C1C2C3(C)C,C21H30O2,IGHTZQUIFGUJTG-QSMXQIJUSA-N,314.46900000000005,4,1,2,1
Cannabicyclolic acid,CBLA,71437560,Cannabinoid,71437560,"3-hydroxy-9,13,13-trimethyl-5-pentyl-8-oxatetracyclo[7.4.1.02,7.012,14]tetradeca-2(7),3,5-triene-4-carboxylic acid",Cannabicyclolic acid,CCCCCc1cc2c(c(O)c1C(=O)O)C1C3C(CCC3(C)O2)C1(C)C,C22H30O4,JVOHLEIRDMVLHS-UHFFFAOYSA-N,358.4780000000001,5,2,3,1
Cannabinol,CBN,2543,Cannabinoid,2543,"6,6,9-trimethyl-3-pentylbenzo[c]chromen-1-ol",cannabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2,C21H26O2,VBGLYOIFKLUMQG-UHFFFAOYSA-N,310.43700000000007,4,1,2,2
Cannabinolic acid,CBNA,3081990,Cannabinoid,3081990,"1-hydroxy-6,6,9-trimethyl-3-pentylbenzo[c]chromene-2-carboxylic acid",Cannabinolic acid,CCCCCc1cc2c(c(O)c1C(=O)O)-c1cc(C)ccc1C(C)(C)O2,C22H26O4,KXKOBIRSQLNUPS-UHFFFAOYSA-N,354.4460000000001,5,2,3,2
Delta-8-Tetrahydrocannabinol,d8-THC,638026,Cannabinoid,638026,"(6aR,10aR)-6,6,9-trimethyl-3-pentyl-6a,7,10,10a-tetrahydrobenzo[c]chromen-1-ol",delta-8-tetrahydrocannabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,C21H30O2,HCAWPGARWVBULJ-IAGOWNOFSA-N,314.46900000000005,4,1,2,1
Delta-9-Tetrahydrocannabinol,d9-THC,16078,Cannabinoid,16078,"(6aR,10aR)-6,6,9-trimethyl-3-pentyl-6a,7,8,10a-tetrahydrobenzo[c]chromen-1-ol",Dronabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)=CC21,C21H30O2,CYQFCXCEBYINGO-IAGOWNOFSA-N,314.46900000000005,4,1,2,1
Tetrahydrocannabinolic acid,THCA,3082459,Cannabinoid,3082459,"1-hydroxy-6,6,9-trimethyl-3-pentyl-6a,10a-dihydro-4H-benzo[c]chromene-4a-carboxylic acid","6H-Dibenzo(b,d)pyrancarboxylic acid, 6a,7,8,10a(or 6a,7,10,10a)-tetrahydro-1-hydroxy-6,6-dimethyl-3-pentyl-, (6aR-trans)-",CCCCCC1=CC(O)=C2C3C=C(C)C=CC3C(C)(C)OC2(C(=O)O)C1,C22H30O4,YZGCYNMNFASAOK-UHFFFAOYSA-N,358.4780000000001,5,2,3,0
Tetrahydrocannabivarin,THCV,93147,Cannabinoid,93147,"(6aR,10aR)-6,6,9-trimethyl-3-propyl-6a,7,8,10a-tetrahydrobenzo[c]chromen-1-ol",TETRAHYDROCANNABIVARIN,CCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)=CC21,C19H26O2,ZROLHBHDLIHEMS-HUUCEWRRSA-N,286.41499999999996,2,1,2,1
Tetrahydrocannabivarinic acid,THCVA,59444416,Cannabinoid,59444416,"(6aR,10aR)-1-hydroxy-6,6,9-trimethyl-3-propyl-6a,7,8,10a-tetrahydrobenzo[c]chromene-2-carboxylic acid",Delta-9-Tetrahydrocannabivarinic acid,CCCc1cc2c(c(O)c1C(=O)O)C1C=C(C)CCC1C(C)(C)O2,C20H26O4,IQSYWEWTWDEVNO-ZIAGYGMSSA-N,330.42400000000004,3,2,3,1
